term,frequency,entropy,rel_term,rt_score,CHex,Clab_L,Clab_a,Clab_b,C Prob,RHex,Rlab_L,Rlab_a,Rlab_b,RC Prob
terracotta,1899,-8.997369843428444,terracotta,0.01865,#c26448,53,35,33,0.0449438202247191,#c86949,55,35,35,0.0449438202247191
oceanblue,2093,-9.411386184762014,oceanblue,0.00719,#006185,38,-13,-27,0.012315270935960592,#004d6d,30,-10,-25,0.017241379310344827
yellowbrown,1617,-8.666677269610735,yellowbrown,0.01864,#997800,52,3,60,0.04065040650406504,#8f7500,50,0,60,0.04424778761061947
brightyellow,642,-6.523028207969913,brightyellow,0.02036,#f7f900,95,-22,94,0.04746835443037975,#fbf800,95,-20,95,0.04746835443037975
dustyrose,1935,-9.108922429406135,dustyrose,0.02145,#bc7673,57,27,13,0.050724637681159424,#bb6f6b,55,30,15,0.05442176870748299
applegreen,1721,-8.929418455583818,applegreen,0.00582,#8fd748,79,-45,61,0.011876484560570071,#91da4d,80,-45,60,0.011876484560570071
neonpink,1112,-7.977896025777589,neonpink,0.01108,#ff00ae,57,90,-20,0.02032520325203252,#ff00a0,55,90,-15,0.022935779816513763
skin,1341,-8.39382270588599,skin,0.02446,#ffd1ab,87,11,25,0.05263157894736842,#ffdab3,90,10,25,0.056
cornflowerblue,1999,-9.354178766972609,cornflowerblue,0.008,#7e8bf1,61,22,-53,0.014619883040935672,#6d7ddb,55,20,-50,0.01652892561983471
lightturquoise,1578,-8.708427881368623,lightturquoise,0.00865,#9cfedc,93,-36,7,0.017467248908296942,#a9ffdc,95,-35,10,0.018604651162790697
wine,1489,-8.709568176885883,wine,0.01759,#620830,20,40,1,0.03076923076923077,#550020,15,40,5,0.037037037037037035
deepred,940,-7.739534648304209,deepred,0.01568,#840007,26,51,36,0.03125,#800006,25,50,35,0.03125
azure,1645,-9.070980681645203,azure,0.00586,#4caaff,68,2,-54,0.010025062656641603,#0e92ff,60,10,-65,0.011990407673860911
